gid,objectid,loc_name,status,score,match_type,match_addr,longlabel,shortlabel,addr_type,type,placename,place_addr,phone,url,rank,addbldg,addnum,addnumfrom,addnumto,addrange,side,stpredir,stpretype,stname,sttype,stdir,bldgtype,bldgname,leveltype,levelname,unittype,unitname,subaddr,staddr,block,sector,nbrhd,district,city,metroarea,subregion,region,regionabbr,territory,zone,postal,postalext,country,cntryname,langcode,distance,x,y,displayx,displayy,__xmin,__xmax,ymin,ymax,exinfo,arc_single,id,loannumber,borrowerna,borrowerad,borrowerci,borrowerst,borrowerzi,loanstatus,loanstat_1,initialapp,currentapp,currenta_1,servicingl,hubzoneind,businessag,jobsreport,naicscode,lmiindicat,businessty,forgivenes,forgiven_1,full_addre,geom
133,133,World,M,100,A,"550 Casanova St, Bronx, New York, 10474","550 Casanova St, Bronx, NY, 10474, USA",550 Casanova St,PointAddress,NULL,NULL,"550 Casanova St, Bronx, New York, 10474",NULL,NULL,20,NULL,550,NULL,NULL,NULL,NULL,NULL,NULL,Casanova,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,550 Casanova St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6712,USA,United States,ENG,0,-73.88935517,40.81134738,-73.88935517,40.81134738,-73.89035517,-73.88835517,40.81034738,40.81234738,NULL,"550 Casanova St Bronx, NY",510371,5861387204,COSMOS SEAFOOD,550 Casanova St,Bronx,NY,10474-6712,9/23/21,Paid in Full,37592,37592,37592,Ponce Bank,Y,Existing or more than 2 years old,7,424460,Y,Subchapter S Corporation,38085.84,8/30/21,"550 Casanova St Bronx, NY",0101000020E6100000D4F1F431EB7852C0C0CF1E3BDA674440
134,134,World,M,100,A,"474 E 146th St, Bronx, New York, 10455","474 E 146th St, Bronx, NY, 10455, USA",474 E 146th St,PointAddress,NULL,NULL,"474 E 146th St, Bronx, New York, 10455",NULL,NULL,20,NULL,474,NULL,NULL,NULL,NULL,E,NULL,146th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,474 E 146th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10455,4134,USA,United States,ENG,0,-73.91671178,40.813,-73.91671178,40.813,-73.91771178,-73.91571178,40.812,40.814,NULL,"474 E 146th St Bronx, NY",513342,2686578806,CARLOS GATES AND IRON WORKS INC.,474 E 146th St,Bronx,NY,10455-4134,2/18/22,Paid in Full,36880,36880,36880,"JPMorgan Chase Bank, National Association",Y,Existing or more than 2 years old,5,812990,Y,Subchapter S Corporation,37138.02,12/28/21,"474 E 146th St Bronx, NY",0101000020E610000054F5DE67AB7A52C028D0486210684440
135,135,World,M,100,A,"432 Austin Pl, Bronx, New York, 10455","432 Austin Pl, Bronx, NY, 10455, USA",432 Austin Pl,PointAddress,NULL,NULL,"432 Austin Pl, Bronx, New York, 10455",NULL,NULL,20,NULL,432,NULL,NULL,NULL,NULL,NULL,NULL,Austin,Pl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,432 Austin Pl,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10455,5025,USA,United States,ENG,0,-73.90552537,40.80913053,-73.90552537,40.80913053,-73.90652537,-73.90452537,40.80813053,40.81013053,NULL,"432 Austin Pl Bronx, NY",514465,3372808402,DECOFULL MILLWORK INC,432 Austin Pl,Bronx,NY,10455-5006,9/25/21,Paid in Full,36529,36529,36529,"Transportation Alliance Bank, Inc. d/b/a TAB Bank",Y,Existing or more than 2 years old,5,238350,Y,Corporation,36702.51,8/2/21,"432 Austin Pl Bronx, NY",0101000020E6100000E8F3B020F47952C020CFDE9691674440
136,136,World,M,99.13,A,"41 E 170th St, Bronx, New York, 10452","41 E 170th St, Bronx, NY, 10452, USA",41 E 170th St,PointAddress,NULL,NULL,"41 E 170th St, Bronx, New York, 10452",NULL,NULL,20,NULL,41,NULL,NULL,NULL,NULL,E,NULL,170th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41 E 170th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,7015,USA,United States,ENG,0,-73.91626779,40.83983114,-73.91626779,40.83983114,-73.91726779,-73.91526779,40.83883114,40.84083114,39,"39-41 E 170 Street, #41 Bronx, NY",514586,4869837208,SS PHARMA INC.,"39-41 E 170 Street, #41",Bronx,NY,10452,7/15/21,Paid in Full,36500,36500,36500,Live Oak Banking Company,Y,Existing or more than 2 years old,6,446110,Y,Corporation,36907,6/10/21,"39-41 E 170 Street, #41 Bronx, NY",0101000020E610000048F5A421A47A52C008D738967F6B4440
137,137,World,M,100,A,"888 Hunts Point Ave, Bronx, New York, 10474","888 Hunts Point Ave, Bronx, NY, 10474, USA",888 Hunts Point Ave,PointAddress,NULL,NULL,"888 Hunts Point Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,888,NULL,NULL,NULL,NULL,NULL,NULL,Hunts Point,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,888 Hunts Point Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,5402,USA,United States,ENG,0,-73.88926046,40.81913882,-73.88926046,40.81913882,-73.89026046,-73.88826046,40.81813882,40.82013882,NULL,"888 Hunts point ave Bronx, NY",514647,1881648107,CAREPOINT PHARMACY CORP,888 Hunts point ave,Bronx,NY,10474,4/23/21,Paid in Full,36497,36497,36497,"TD Bank, National Association",Y,Existing or more than 2 years old,5,561990,Y,Corporation,36742.34,3/22/21,"888 Hunts point ave Bronx, NY",0101000020E6100000D4F1B0A4E97852C0C0D1748AD9684440
138,138,World,M,100,A,"435 Longfellow Ave, Bronx, New York, 10474","435 Longfellow Ave, Bronx, NY, 10474, USA",435 Longfellow Ave,PointAddress,NULL,NULL,"435 Longfellow Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,435,NULL,NULL,NULL,NULL,NULL,NULL,Longfellow,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,435 Longfellow Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6912,USA,United States,ENG,0,-73.88355263,40.81012614,-73.88355263,40.81012614,-73.88455263,-73.88255263,40.80912614,40.81112614,NULL,"435 Longfellow Ave Bronx, NY",517170,2422087703,MAC E86 LLC,435 Longfellow Ave,Bronx,NY,10474,8/20/21,Paid in Full,35743,35742,35742,"JPMorgan Chase Bank, National Association",Y,Existing or more than 2 years old,5,999990,Y,Limited  Liability Company(LLC),36176.45,7/22/21,"435 Longfellow Ave Bronx, NY",0101000020E610000018F156208C7852C060CF9636B2674440
139,139,World,M,100,A,"1325 Lafayette Ave, Bronx, New York, 10474","1325 Lafayette Ave, Bronx, NY, 10474, USA",1325 Lafayette Ave,PointAddress,NULL,NULL,"1325 Lafayette Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,1325,NULL,NULL,NULL,NULL,NULL,NULL,Lafayette,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1325 Lafayette Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6046,USA,United States,ENG,0,-73.88566043,40.81717163,-73.88566043,40.81717163,-73.88666043,-73.88466043,40.81617163,40.81817163,NULL,"1325 LAFAYETTE AVE BSMT 1 Bronx, NY",519561,1204277208,CROTONA PARK HOUSING LP,1325 LAFAYETTE AVE BSMT 1,Bronx,NY,10474,1/22/21,Paid in Full,35035,35035,35035,"TD Bank, National Association",Y,Existing or more than 2 years old,9,531311,Y,Partnership,35257.86,12/9/20,"1325 LAFAYETTE AVE BSMT 1 Bronx, NY",0101000020E610000058F114A9AE7852C030D1761499684440
141,141,World,M,100,A,"228 Willis Ave, Bronx, New York, 10454","228 Willis Ave, Bronx, NY, 10454, USA",228 Willis Ave,PointAddress,NULL,NULL,"228 Willis Ave, Bronx, New York, 10454",NULL,NULL,20,NULL,228,NULL,NULL,NULL,NULL,NULL,NULL,Willis,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,228 Willis Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,4839,USA,United States,ENG,0,-73.9230091,40.80865272,-73.9230091,40.80865272,-73.9240091,-73.9220091,40.80765272,40.80965272,NULL,"228 Willis Avenue Bronx, NY",521714,3702107401,"228 WILLIS AVENUE FOODS, LLC",228 Willis Avenue,Bronx,NY,10454,3/23/22,Paid in Full,34544,34544,34544,Cross River Bank,Y,Existing or more than 2 years old,8,722513,Y,Limited  Liability Company(LLC),35057.9,11/17/21,"228 Willis Avenue Bronx, NY",0101000020E610000024F6C294127B52C000CFB4EE81674440
142,142,World,M,100,A,"208 Willis Ave, Bronx, New York, 10454","208 Willis Ave, Bronx, NY, 10454, USA",208 Willis Ave,PointAddress,NULL,NULL,"208 Willis Ave, Bronx, New York, 10454",NULL,NULL,20,NULL,208,NULL,NULL,NULL,NULL,NULL,NULL,Willis,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,208 Willis Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,4844,USA,United States,ENG,0,-73.92354579,40.80790615,-73.92354579,40.80790615,-73.92454579,-73.92254579,40.80690615,40.80890615,NULL,"208 Willis Ave Bronx, NY",523183,8257118306,WILLIS CARE PHARMACY INC,208 Willis Ave,Bronx,NY,10454-4844,10/9/21,Paid in Full,34152,34152,34152,Manufacturers and Traders Trust Company,Y,Existing or more than 2 years old,5,446110,Y,Corporation,34337.26,8/26/21,"208 Willis Ave Bronx, NY",0101000020E610000034F6D05F1B7B52C0D8CEF87769674440
143,143,World,M,100,A,"748 Southern Blvd, Bronx, New York, 10455","748 Southern Blvd, Bronx, NY, 10455, USA",748 Southern Blvd,PointAddress,NULL,NULL,"748 Southern Blvd, Bronx, New York, 10455",NULL,NULL,20,NULL,748,NULL,NULL,NULL,NULL,NULL,NULL,Southern,Blvd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,748 Southern Blvd,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10455,2198,USA,United States,ENG,0,-73.89766373,40.8146765,-73.89766373,40.8146765,-73.89866373,-73.89666373,40.8136765,40.8156765,NULL,"748 Southern Blvd. Bronx, NY",528581,4087347209,"SOUTHERN BLVD. DEPOT, INC",748 Southern Blvd.,Bronx,NY,10455-2106,9/29/21,Paid in Full,32670,32670,32670,Popular Bank,Y,Existing or more than 2 years old,5,722330,Y,Sole Proprietorship,33093.8,8/16/21,"748 Southern Blvd. Bronx, NY",0101000020E6100000E8F29652737952C090D0D65147684440
144,144,World,M,100,A,"72 E 161st St, Bronx, New York, 10451","72 E 161st St, Bronx, NY, 10451, USA",72 E 161st St,PointAddress,NULL,NULL,"72 E 161st St, Bronx, New York, 10451",NULL,NULL,20,NULL,72,NULL,NULL,NULL,NULL,E,NULL,161st,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72 E 161st St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,2207,USA,United States,ENG,0,-73.9252329,40.8273131,-73.9252329,40.8273131,-73.9262329,-73.9242329,40.8263131,40.8283131,NULL,"72 East 161 Street Bronx, NY",532339,1573627310,J&L YANKEE INC.,72 East 161 Street,Bronx,NY,10451,4/17/21,Paid in Full,31790,31790,31790,"Santander Bank, National Association",Y,Existing or more than 2 years old,8,722511,Y,Corporation,32048.67,3/1/21,"72 East 161 Street Bronx, NY",0101000020E610000070F61004377B52C0D8D35065E5694440
145,145,World,M,100,A,"1230 Jerome Ave, Bronx, New York, 10452","1230 Jerome Ave, Bronx, NY, 10452, USA",1230 Jerome Ave,PointAddress,NULL,NULL,"1230 Jerome Ave, Bronx, New York, 10452",NULL,NULL,20,NULL,1230,NULL,NULL,NULL,NULL,NULL,NULL,Jerome,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1230 Jerome Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,3302,USA,United States,ENG,0,-73.92150321,40.83649016,-73.92150321,40.83649016,-73.92250321,-73.92050321,40.83549016,40.83749016,NULL,"1230 Jerome Ave. Bronx, NY",533422,1404347308,"ONE STOP LIVE MARKET, INC.",1230 Jerome Ave.,Bronx,NY,10452,2/19/22,Paid in Full,31500,31500,31500,Loan Source Incorporated,Y,Existing or more than 2 years old,5,446191,Y,Corporation,31852.11,6/24/21,"1230 Jerome Ave. Bronx, NY",0101000020E6100000F4F596E8F97A52C030D6021C126B4440
146,146,World,M,100,A,"555 Bergen Ave, Bronx, New York, 10455","555 Bergen Ave, Bronx, NY, 10455, USA",555 Bergen Ave,PointAddress,NULL,NULL,"555 Bergen Ave, Bronx, New York, 10455",NULL,NULL,20,NULL,555,NULL,NULL,NULL,NULL,NULL,NULL,Bergen,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,555 Bergen Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10455,1368,USA,United States,ENG,0,-73.91651287,40.81595873,-73.91651287,40.81595873,-73.91751287,-73.91551287,40.81495873,40.81695873,NULL,"555 bergen ave Bronx, NY",533426,1504497206,NETWORK SUPPORT SERVICES INC.,555 bergen ave,Bronx,NY,10455-1368,4/19/22,Paid in Full,31500,31500,31500,New York Business Development Corporation,Y,Existing or more than 2 years old,7,923120,Y,Non-Profit Organization,31892.67,7/23/21,"555 bergen ave Bronx, NY",0101000020E610000050F59C25A87A52C0E0D0E45571684440
147,147,World,M,100,A,"1234 Randall Ave, Bronx, New York, 10474","1234 Randall Ave, Bronx, NY, 10474, USA",1234 Randall Ave,PointAddress,NULL,NULL,"1234 Randall Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,1234,NULL,NULL,NULL,NULL,NULL,NULL,Randall,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1234 Randall Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6308,USA,United States,ENG,0,-73.88873181,40.81163999,-73.88873181,40.81163999,-73.88973181,-73.88773181,40.81063999,40.81263999,NULL,"1234 Randall Ave Bronx, NY",534374,3099568509,ECONOMY REFRIGERATION CORP,1234 Randall Ave,Bronx,NY,10474-6308,4/20/22,Paid in Full,31272,31272,31272,"JPMorgan Chase Bank, National Association",Y,Existing or more than 2 years old,5,423740,Y,Corporation,31605.71,3/24/22,"1234 Randall Ave Bronx, NY",0101000020E6100000C0F162FBE07852C0D8CFBAD1E3674440
148,148,World,M,100,A,"26 Bruckner Blvd, Bronx, New York, 10454","26 Bruckner Blvd, Bronx, NY, 10454, USA",26 Bruckner Blvd,PointAddress,NULL,NULL,"26 Bruckner Blvd, Bronx, New York, 10454",NULL,NULL,20,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,Bruckner,Blvd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26 Bruckner Blvd,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,4433,USA,United States,ENG,0,-73.92829238,40.80701741,-73.92829238,40.80701741,-73.92929238,-73.92729238,40.80601741,40.80801741,NULL,"26 Bruckner Blvd Bronx, NY",534934,2050447800,MADE IN PR LATIN CUISINE & SPORTS BAR CORP,26 Bruckner Blvd,Bronx,NY,10454,9/25/21,Paid in Full,31200,31200,31200,"Capital One, National Association",Y,Existing or more than 2 years old,10,722511,Y,Subchapter S Corporation,31583.07,8/19/21,"26 Bruckner Blvd Bronx, NY",0101000020E6100000CCF67224697B52C098CEBC584C674440
149,149,World,M,100,A,"176 E 161st St, Bronx, New York, 10451","176 E 161st St, Bronx, NY, 10451, USA",176 E 161st St,PointAddress,NULL,NULL,"176 E 161st St, Bronx, New York, 10451",NULL,NULL,20,NULL,176,NULL,NULL,NULL,NULL,E,NULL,161st,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,176 E 161st St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,3508,USA,United States,ENG,0,-73.92225699,40.82652219,-73.92225699,40.82652219,-73.92325699,-73.92125699,40.82552219,40.82752219,NULL,"176 E 161st St Bronx, NY",535047,9004508301,ONE STOP PHARMACY CORPORATION,176 E 161st St,Bronx,NY,10451-3508,3/19/22,Paid in Full,31200,31200,31200,Bank of Hope,Y,Existing or more than 2 years old,5,446110,Y,Corporation,31510.29,2/8/22,"176 E 161st St Bronx, NY",0101000020E61000000CF63042067B52C0A8D3A07ACB694440
150,150,World,M,100,A,"846 Gerard Ave, Bronx, New York, 10451","846 Gerard Ave, Bronx, NY, 10451, USA",846 Gerard Ave,PointAddress,NULL,NULL,"846 Gerard Ave, Bronx, New York, 10451",NULL,NULL,20,NULL,846,NULL,NULL,NULL,NULL,NULL,NULL,Gerard,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,846 Gerard Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10451,2209,USA,United States,ENG,0,-73.92522167,40.82679841,-73.92522167,40.82679841,-73.92622167,-73.92422167,40.82579841,40.82779841,NULL,"846 Gerard Avenue Bronx, NY",538424,6207057406,846 GROCERY CORP,846 Gerard Avenue,Bronx,NY,10451,7/14/21,Paid in Full,30337,30337,30337,Celtic Bank Corporation,Y,Existing or more than 2 years old,6,721199,Y,Corporation,30671.95,6/22/21,"846 Gerard Avenue Bronx, NY",0101000020E610000070F6F4D4367B52C0B0D3C687D4694440
151,151,World,M,100,A,"1465 Nelson Ave, Bronx, New York, 10452","1465 Nelson Ave, Bronx, NY, 10452, USA",1465 Nelson Ave,PointAddress,NULL,NULL,"1465 Nelson Ave, Bronx, New York, 10452",NULL,NULL,20,NULL,1465,NULL,NULL,NULL,NULL,NULL,NULL,Nelson,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1465 Nelson Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,1758,USA,United States,ENG,0,-73.92126675,40.84384607,-73.92126675,40.84384607,-73.92226675,-73.92026675,40.84284607,40.84484607,NULL,"1465 Nelson Avenue, Bronx, NY",538613,7686927201,NOSOTROS HOUSING DEVELOPMENT FUND CORPORATION,"1465 Nelson Avenue,",Bronx,NY,10452,2/18/22,Paid in Full,30300,30300,30300,Loan Source Incorporated,Y,Existing or more than 2 years old,5,531110,Y,Corporation,30681.03,8/16/21,"1465 Nelson Avenue, Bronx, NY",0101000020E6100000E8F5D408F67A52C000D8E825036C4440
152,152,World,M,100,A,"1173 Worthen St, Bronx, New York, 10474","1173 Worthen St, Bronx, NY, 10474, USA",1173 Worthen St,PointAddress,NULL,NULL,"1173 Worthen St, Bronx, New York, 10474",NULL,NULL,20,NULL,1173,NULL,NULL,NULL,NULL,NULL,NULL,Worthen,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1173 Worthen St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6222,USA,United States,ENG,0,-73.89250928,40.81334801,-73.89250928,40.81334801,-73.89350928,-73.89150928,40.81234801,40.81434801,NULL,"1173 Worthen ST Bronx, NY",542119,5341897407,ARMANI PALLETS LLC,1173 Worthen ST,Bronx,NY,10474,10/21/21,Paid in Full,29668,29668,29668,"TD Bank, National Association",Y,Existing or more than 2 years old,5,484220,Y,Limited  Liability Company(LLC),30068.52,9/13/21,"1173 Worthen ST Bronx, NY",0101000020E610000040F240DF1E7952C038D0A8C91B684440
153,153,World,M,100,A,"199 Lincoln Ave, Bronx, New York, 10454","199 Lincoln Ave, Bronx, NY, 10454, USA",199 Lincoln Ave,PointAddress,NULL,NULL,"199 Lincoln Ave, Bronx, New York, 10454",NULL,NULL,20,NULL,199,NULL,NULL,NULL,NULL,NULL,NULL,Lincoln,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,199 Lincoln Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,3705,USA,United States,ENG,0,-73.92807311,40.81004743,-73.92807311,40.81004743,-73.92907311,-73.92707311,40.80904743,40.81104743,NULL,"199 Lincoln Avenue Suite 203 Bronx, NY",542942,4671927401,CRYSTAL-SMITH LLC,199 Lincoln Avenue Suite 203,Bronx,NY,10454,7/14/21,Paid in Full,29492,29492,29492,WebBank,Y,Existing or more than 2 years old,5,423220,Y,Limited  Liability Company(LLC),29826.24,6/28/21,"199 Lincoln Avenue Suite 203 Bronx, NY",0101000020E6100000C8F6C28C657B52C070CF5AA2AF674440
154,154,World,M,100,A,"532 Bryant Ave, Bronx, New York, 10474","532 Bryant Ave, Bronx, NY, 10474, USA",532 Bryant Ave,PointAddress,NULL,NULL,"532 Bryant Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,532,NULL,NULL,NULL,NULL,NULL,NULL,Bryant,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,532 Bryant Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6924,USA,United States,ENG,0,-73.88462736,40.81156476,-73.88462736,40.81156476,-73.88562736,-73.88362736,40.81056476,40.81256476,NULL,"532 Bryant Ave Bronx, NY",545074,7550317305,NYC TRUCKING CORP,532 Bryant Ave,Bronx,NY,10474-6924,3/31/21,Paid in Full,29139,29139,29139,Ponce Bank,Y,Existing or more than 2 years old,6,424480,Y,Corporation,29380.59,3/5/21,"532 Bryant Ave Bronx, NY",0101000020E610000038F112BC9D7852C0B8CFAC5AE1674440
155,155,World,M,100,A,"605 E 138th St, Bronx, New York, 10454","605 E 138th St, Bronx, NY, 10454, USA",605 E 138th St,PointAddress,NULL,NULL,"605 E 138th St, Bronx, New York, 10454",NULL,NULL,20,NULL,605,NULL,NULL,NULL,NULL,E,NULL,138th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,605 E 138th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,2712,USA,United States,ENG,0,-73.91606637,40.80640755,-73.91606637,40.80640755,-73.91706637,-73.91506637,40.80540755,40.80740755,NULL,"605 East 138th Street Bronx, NY",554760,1434427908,MYTAX2GO,605 East 138th Street,Bronx,NY,10454,11/20/21,Paid in Full,27079,27079,27079,"TD Bank, National Association",Y,Existing or more than 2 years old,5,541213,Y,Limited  Liability Company(LLC),27437.8,10/4/21,"605 East 138th Street Bronx, NY",0101000020E610000040F5D6D4A07A52C070CECC5C38674440
156,156,World,M,100,A,"1325 Lafayette Ave, Bronx, New York, 10474","1325 Lafayette Ave, Bronx, NY, 10474, USA",1325 Lafayette Ave,PointAddress,NULL,NULL,"1325 Lafayette Ave, Bronx, New York, 10474",NULL,NULL,20,NULL,1325,NULL,NULL,NULL,NULL,NULL,NULL,Lafayette,Ave,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1325 Lafayette Ave,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6046,USA,United States,ENG,0,-73.88566043,40.81717163,-73.88566043,40.81717163,-73.88666043,-73.88466043,40.81617163,40.81817163,NULL,"1325 Lafayette Ave Bronx, NY",558038,3460287710,LONGFELLOW OWNERS LLC-SBA SMALL 7A TERM,1325 Lafayette Ave,Bronx,NY,10474,2/23/21,Paid in Full,26384,26384,26384,"TD Bank, National Association",Y,Existing or more than 2 years old,9,0,Y,Limited  Liability Company(LLC),26562.09,1/7/21,"1325 Lafayette Ave Bronx, NY",0101000020E610000058F114A9AE7852C030D1761499684440
157,157,World,M,100,A,"40 E 167th St, Bronx, New York, 10452","40 E 167th St, Bronx, NY, 10452, USA",40 E 167th St,PointAddress,NULL,NULL,"40 E 167th St, Bronx, New York, 10452",NULL,NULL,20,NULL,40,NULL,NULL,NULL,NULL,E,NULL,167th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40 E 167th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10452,8207,USA,United States,ENG,0,-73.92121646,40.83557313,-73.92121646,40.83557313,-73.92221646,-73.92021646,40.83457313,40.83657313,NULL,"40 E 167th St Bronx, NY",558938,6308787804,"LA NUEVA WIN HING RESTAURANT, INC.",40 E 167th St,Bronx,NY,10452-8207,2/2/22,Paid in Full,26200,26200,26200,New York Business Development Corporation,Y,Existing or more than 2 years old,6,722511,Y,Corporation,26451.23,6/1/21,"40 E 167th St Bronx, NY",0101000020E6100000E8F5E435F57A52C0F8D5780FF46A4440
158,158,World,M,100,A,"553 E 138th St, Bronx, New York, 10454","553 E 138th St, Bronx, NY, 10454, USA",553 E 138th St,PointAddress,NULL,NULL,"553 E 138th St, Bronx, New York, 10454",NULL,NULL,20,NULL,553,NULL,NULL,NULL,NULL,E,NULL,138th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,553 E 138th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10454,3227,USA,United States,ENG,0,-73.91752926,40.80703036,-73.91752926,40.80703036,-73.91852926,-73.91652926,40.80603036,40.80803036,NULL,"553 E 138th St Bronx, NY",559596,6053408505,BAY'S PIZZA INC,553 E 138th St,Bronx,NY,10454-3227,6/16/22,Paid in Full,26057,26057,26057,"JPMorgan Chase Bank, National Association",Y,Existing or more than 2 years old,6,722513,Y,Corporation,26374.07,5/25/22,"553 E 138th St Bronx, NY",0101000020E61000006CF5A8CCB87A52C0A8CE5EC54C674440
160,160,World,M,96.95,A,"437 Barretto St, Bronx, New York, 10474","437 Barretto St, Bronx, NY, 10474, USA",437 Barretto St,PointAddress,NULL,NULL,"437 Barretto St, Bronx, New York, 10474",NULL,NULL,20,NULL,437,NULL,NULL,NULL,NULL,NULL,NULL,Barretto,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,437 Barretto St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10474,6723,USA,United States,ENG,0,-73.88814097,40.80938069,-73.88814097,40.80938069,-73.88914097,-73.88714097,40.80838069,40.81038069,NULL,"437 Barreto Street Bronx, NY",563773,9449977309,132 VERMILEA CORP,437 Barreto Street,Bronx,NY,10474,3/23/22,Paid in Full,25213,25213,25213,Cross River Bank,N,Existing or more than 2 years old,6,484210,Y,Corporation,25638.51,1/19/22,"437 Barreto Street Bronx, NY",0101000020E6100000ACF1384DD77852C030CF58C999674440
161,161,World,M,100,A,"500 E 149th St, Bronx, New York, 10455","500 E 149th St, Bronx, NY, 10455, USA",500 E 149th St,PointAddress,NULL,NULL,"500 E 149th St, Bronx, New York, 10455",NULL,NULL,20,NULL,500,NULL,NULL,NULL,NULL,E,NULL,149th,St,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,500 E 149th St,NULL,NULL,NULL,Bronx,Bronx,NULL,Bronx County,New York,NY,NULL,NULL,10455,1681,USA,United States,ENG,0,-73.91485032,40.81474293,-73.91485032,40.81474293,-73.91585032,-73.91385032,40.81374293,40.81574293,NULL,"500 E 149th Street Bronx, NY",567598,2287128106,CHRISTINA NAIL SPA INC,500 E 149th Street,Bronx,NY,10455-1359,3/19/22,Paid in Full,24743,24743,24743,"Kabbage, Inc.",Y,Existing or more than 2 years old,5,812113,Y,Corporation,25073.81,11/17/21,"500 E 149th Street Bronx, NY",0101000020E610000018F55EE88C7A52C090D0107F49684440
